"category_id","name","url_name","description","meta_description","meta_keywords","auto_category_term","num_videos","last_video_id","image_id"
2335,"Stand Up (Gi) - Zone 1 - Sleeve Control - Same Side Sleeve - Offensive - Trips","stand-up-gi-zone-1-sleeve-control-same-side-sleeve-offensive-trips","","","","",2,2013,0
2336,"Guards - Koala Guard - Koala Guard (Ankle Chop) - Far Sleeve (Shin) - Bottom (Standing) - Sweeps","guards-koala-guard-koala-guard-ankle-chop-far-sleeve-shin-bottom-standing-sweeps","","","","",1,2015,0
2349,"Guards - Closed Guard - Bottom Dominant (Clinches) - Neck Clinch - Bottom - Back Takes","guards-closed-guard-bottom-dominant-clinches-neck-clinch-bottom-back-takes","","","","",1,2015,0
2350,"Guards - Closed Guard - Bottom Dominant (Clinches) - Overhook - Top - Submissions","guards-closed-guard-bottom-dominant-clinches-overhook-top-submissions","","","","",1,2015,0
2351,"Guards - Turtle Guard - Front Turtle - Front Headlock - Top - Transition to Mount","guards-turtle-guard-front-turtle-front-headlock-top-transition-to-mount","","","","",2,2015,0
2362,"Guards - Butterfly Guard - Butterfly Guard - Flattened - Top - Back Takes","guards-butterfly-guard-butterfly-guard-flattened-top-back-takes","","","","",1,2015,0
2363,"Guards - De La Riva Guard - De La Riva Guard - Lasso - Bottom (Kneeling) - Sweeps","guards-de-la-riva-guard-de-la-riva-guard-lasso-bottom-kneeling-sweeps","","","","",2,2015,0
2364,"Mounts - Side Control - Side Control (100 Kilos) - Gi Wrap (Chicken Wing) - Top - Mount Takes","mounts-side-control-side-control-100-kilos-gi-wrap-chicken-wing-top-mount-takes","","","","",1,2015,0
2365,"Stand Up (No Gi) - Zone 1 - Collar Tie - Wrist - Offensive - Guard Pulls","stand-up-no-gi-zone-1-collar-tie-wrist-offensive-guard-pulls","","","","",1,2015,0
2366,"Stand Up (No Gi) - Disengaged - Disengaged - Shots - Offensive - Guard Pulls","stand-up-no-gi-disengaged-disengaged-shots-offensive-guard-pulls","","","","",1,2015,0
2370,"Miscellaneous - MMA - MMA - Cage Pin - Offensive - Control","miscellaneous-mma-mma-cage-pin-offensive-control","","","","",2,2015,0
2371,"Guards - Koala Guard - Koala Guard (Ankle Chop) - Belt or Gi Skirt - Top - Passes","guards-koala-guard-koala-guard-ankle-chop-belt-or-gi-skirt-top-passes","","","","",1,2015,0
2369,"Guards - Reverse DLR Guard - Reverse DLR Guard (Bottom Dominant) - Foot On Shoulder - Bottom (Kneeling) - Back Takes","guards-reverse-dlr-guard-reverse-dlr-guard-bottom-dominant-foot-on-shoulder-bottom-kneeling-back-takes","","","","",1,2015,0
2372,"Mounts - Side Control - Side Control (100 Kilos) - Pummeled - Top - Escape Counters","mounts-side-control-side-control-100-kilos-pummeled-top-escape-counters","","","","",8,2015,0
2373,"Mounts - Side Control - Side Control (100 Kilos) - Forearm Brace (Arm Catch) - Top - Escape Counters","mounts-side-control-side-control-100-kilos-forearm-brace-arm-catch-top-escape-counters","","","","",1,2015,0
2374,"Guards - Disengaged - Laying vs. Standing - Penetrating Step - Top - Passes to Mount","guards-disengaged-laying-vs-standing-penetrating-step-top-passes-to-mount","","","","",1,2015,0
2375,"Stand Up (No Gi) - Zone 2 - Russian - X Grip - Offensive - Trips","stand-up-no-gi-zone-2-russian-x-grip-offensive-trips","","","","",1,2015,0
2376,"Guards - Half Guard - Half Guard (Top Dominant) - Normal (Forearm Brace) - Bottom - Back Takes","guards-half-guard-half-guard-top-dominant-normal-forearm-brace-bottom-back-takes","","","","",4,2015,0
